379	1699365 5601
380	1704966 2100
381	1707066 1801
382	1708867 15859
383	1724726 5938
384	1730664 2259
385	1732923 2623
386	1735546 5408
387	1740954 3927
388	1744881 13776
389	1758657 3831
390	1762488 1854
391	1764342 3644
392	1767986 6599
393	1774585 2966
394	1777551 570
395	1778121 4695
396	1782816 4561
397	1787377 2715
398	1790092 4748
399	1794840 2163
400	1797003 745
401	1797748 477
402	1798225 3168
403	1801393 2116
404	1803509 10199
405	1813708 1132
406	1814840 1348
407	1816188 5187
408	1821375 2538
409	1823913 6660
410	1830573 7831
411	1838404 1423
412	1839827 1777
413	1841604 2251
414	1843855 3419
415	1847274 1963
416	1849237 2107
417	1851344 6054
418	1857398 2081
419	1859479 1462
420	1860941 1112
421	1862053 3183
422	1865236 6320
423	1871556 1989
424	1873545 2397
425	1875942 2614
426	1878556 2618
427	1881174 3608
428	1884782 1418
429	1886200 8501
430	1894701 3915
431	1898616 1485
432	1900101 10451
433	1910552 4105
434	1914657 7208
435	1921865 10041
436	1931906 3365
437	1935271 6501
438	1941772 4378
439	1946150 4667
440	1950817 2999
441	1953816 1326
442	1955142 3079
443	1958221 1962
444	1960183 1675
445	1961858 1721
446	1963579 3359
447	1966938 2070
448	1969008 2135
449	1971143 989
450	1972132 1899
451	1974031 3963
452	1977994 2204
453	1980198 5404
454	1985602 1750
455	1987352 1902
456	1989254 2550
457	1991804 2200
458	1994004 2385
459	1996389 2192
460	1998581 1799
461	2000380 2389
462	2002769 6024
463	2008793 4960
464	2013753 1634
465	2015387 13681
466	2029068 5378
467	2034446 982
468	2035428 14511
469	2049939 1860
470	2051799 1611
471	2053410 1101
472	2054511 1523
473	2056034 1770
474	2057804 6084
475	2063888 2994
476	2066882 3084
477	2069966 2392
478	2072358 1960
479	2074318 2856
480	2077174 5409
481	2082583 15398
482	2097981 7245
483	2105226 3361
484	2108587 3240
485	2111827 2546
486	2114373 2966
487	2117339 1348
488	2118687 2303
489	2120990 5279
490	2126269 1617
491	2127886 1302
492	2129188 1710
493	2130898 1996
494	2132894 2070
495	2134964 2609
496	2137573 2034
497	2139607 1501
498	2141108 1495
499	2142603 1400
500	2144003 2496
501	2146499 3344
502	2149843 3695
503	2153538 6361
504	2159899 1492
505	2161391 2689
506	2164080 2098
507	2166178 3113
508	2169291 1607
509	2170898 8519
510	2179417 3508
511	2182925 3395
512	2186320 1370
513	2187690 7920
514	2195610 8204
515	2203814 8641
516	2212455 5690
517	2218145 7423
518	2225568 7086
519	2232654 5495
520	2238149 1799
521	2239948 6428
522	2246376 9040
523	2255416 3868
524	2259284 4597
525	2263881 2731
526	2266612 2401
527	2269013 3865
528	2272878 4813
529	2277691 4266
530	2281957 3251
531	2285208 7056
532	2292264 8579
533	2300843 8492
534	2309335 2800
535	2312135 649
536	2312784 4193
537	2316977 8139
538	2325116 8340
539	2333456 5411
540	2338867 2416
541	2341283 7601
542	2348884 6645
543	2355529 3465
544	2358994 2902
545	2361896 1062
546	2362958 3056
547	2366014 10603
548	2376617 7566
549	2384183 7619
550	2391802 1043
551	2392845 2971
552	2395816 1796
553	2397612 8030
554	2405642 6944
555	2412586 4064
556	2416650 1034
557	2417684 9582
558	2427266 9633
559	2436899 2708
560	2439607 3796
561	2443403 5693
562	2449096 14785
563	2463881 3047
564	2466928 4458
565	2471386 7894
